"Startx","Starty","Endx","Endy"
45.47,9.17,32.07,34.77
35.67,139.77,41.1,29.
41.1,29.,32.07,34.77
41.89,12.5,32.07,34.77
40.85,14.27,32.07,34.77
45.43,12.33,32.07,34.77
45.43,12.33,32.07,34.77
45.44,10.99,32.07,34.77
45.44,10.99,32.07,34.77
45.43,12.33,32.07,34.77
45.43,12.33,32.07,34.77
40.42,-3.71,32.07,34.77
"",32.07,34.77
40.42,-3.71,50.83,4.33
50.83,4.33,32.07,34.77
48.86,2.34,32.07,34.77
41.4,2.17,32.07,34.77
45.47,9.17,32.07,34.77
37.98,23.73,32.07,34.77
40.42,-3.71,50.83,4.33
50.83,4.33,32.07,34.77
28.31,-16.56,40.42,-3.71
40.42,-3.71,32.07,34.77
48.22,16.37,32.07,34.77
45.44,10.99,32.07,34.77
28.31,-16.56,40.42,-3.71
40.42,-3.71,32.07,34.77
50.83,4.33,32.07,34.77
"",32.07,34.77
28.31,-16.56,""
"",32.07,34.77
41.4,2.17,""
"",55.75,37.62
55.75,37.62,32.07,34.77
"",32.07,34.77
37.98,23.73,32.07,34.77
18.96,72.82,32.07,34.77
"",32.07,34.77
"",32.07,34.77
40.42,-3.71,41.1,29.
41.1,29.,32.07,34.77
40.42,-3.71,32.07,34.77
48.86,2.34,32.07,34.77
"",32.07,34.77
28.31,-16.56,""
"",32.07,34.77
28.31,-16.56,38.72,-9.14
38.72,-9.14,32.07,34.77
28.31,-16.56,40.42,-3.71
40.42,-3.71,32.07,34.77
40.39,49.86,32.07,34.77
48.14,11.58,32.07,34.77
47.988758,10.2395,32.07,34.77
47.988758,10.2395,32.07,34.77
47.28,11.41,48.22,16.37
48.22,16.37,32.07,34.77
40.42,-3.71,32.07,34.77
50.08,14.43,32.07,34.77
28.31,-16.56,""
"",32.07,34.77
28.31,-16.56,40.42,-3.71
40.42,-3.71,32.07,34.77
"",32.07,34.77
41.4,2.17,32.07,34.77
46.21,6.140000000000001,41.1,29.
41.1,29.,32.07,34.77
40.42,-3.71,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
45.19,5.72,32.07,34.77
45.19,5.72,32.07,34.77
48.14,11.58,32.07,34.77
"",32.07,34.77
47.81,13.040000000000001,32.07,34.77
40.42,-3.71,32.07,34.77
48.22,16.37,32.07,34.77
55.95,-3.2,51.5,-0.1166667
51.5,-0.1166667,51.5,-0.1166667
51.5,-0.1166667,32.07,34.77
48.86,2.34,32.07,34.77
45.47,9.17,32.07,34.77
40.42,-3.71,31.95,35.93
47.988758,10.2395,32.07,34.77
47.988758,10.2395,32.07,34.77
47.988758,10.2395,32.07,34.77
40.42,-3.71,32.07,34.77
40.42,-3.71,32.07,34.77
40.6642738,-73.9385004,55.75,37.62
55.75,37.62,32.07,34.77
40.6642738,-73.9385004,55.75,37.62
55.75,37.62,32.07,34.77
55.68,12.57,32.07,34.77
55.75,37.62,32.07,34.77
47.988758,10.2395,32.07,34.77
40.6642738,-73.9385004,38.9041485,-77.0170942
38.9041485,-77.0170942,32.07,34.77
50.08,14.43,48.22,16.37
48.22,16.37,32.07,34.77
50.08,14.43,52.26,21.02
52.26,21.02,32.07,34.77
46.21,6.140000000000001,32.07,34.77
55.75,37.62,32.07,34.77
33.5721625,-112.0879662,37.759881,-122.437392
37.759881,-122.437392,50.120000000000005,8.68
50.120000000000005,8.68,30.06,31.25
